Sidenavn;Codename;URL;Total Interactions;Likes;Comments;Shares;Owned Post Views;Owned Views from Shares;Owned Total Views;Percentage Views from Owned Posts;Views on Shared Posts;Views While Live;Video Time;3-Min+ Videos;Loves;Wows;Hahas;Sads;Angrys;Cares;All Reactions;All Interaction Rate;Total Posts;Posts Per Day;Page Likes;Page Growth;Page Growth %;Page Followers;Page Follower Growth;Page Follower Growth %;Parti;Link;Politiker eller Partiside;Køn;Profil eller side;Kategori;Partileder;FTV kandidat;Month;Måned;Totale interaktioner per post;Kommentarer per post;Delinger per post;Videovisninger per videoopslag;Angry per post;Love per post;Reaktioner per post;Blok
Rasmus Nordqvist;rasmus.nordqvist;https://www.facebook.com/323452711195305;2242;1622;197;97;1603;1194;2797;57%;0;0;0;0;314;3;7;0;2;0;1948;5,73%;7;0;5609;58;1%;5706;64;1%;Alternativet;https://www,facebook,com/323452711195305;Politiker;Mand;Side;MF'ere;;;20190615;201906;320;28;14;1603;0;45;278;Rød blok
Susanne Zimmer  MF;susanne.zimmer.politiker;https://www.facebook.com/332103627167661;955;664;171;29;3417;240;3657;93%;228;63;1;0;90;1;0;0;0;0;755;9,94%;22;1;483;101;26,44%;500;104;26,26%;Alternativet;https://www,facebook,com/332103627167661;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;43;8;1;1709;0;4;34;Rød blok
Torsten Gejl;torsten.gejl;https://www.facebook.com/461364607347621;7318;3911;1446;674;1565;7;1572;100,00%;510;510;0;0;925;29;10;129;194;0;5198;6,13%;18;1;6682;120;2%;6866;118;2%;Alternativet;https://www,facebook,com/461364607347621;Politiker;Mand;Side;MF'ere;;;20190615;201906;407;80;37;1565;11;51;289;Rød blok
Alternativet;alternativet.dk;https://www.facebook.com/676061179094769;21735;14191;2324;1831;238560;46108;284668;84%;0;0;25;1;2436;111;493;281;68;0;17580;1,20%;19;1;95958;1013;1,07%;94209;972;1,04%;Alternativet;https://www,facebook,com/676061179094769;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;1144;122;96;59640;4;128;925;Rød blok
Pia Kjærsgaard;piakjaersgaardDF;https://www.facebook.com/33510214383;99694;55980;16004;16565;354572;181504;536076;66%;0;347;12;1;3436;277;893;1643;4896;0;67125;1,77%;41;1;137710;553;0%;131993;779;1%;Dansk Folkeparti;https://www,facebook,com/33510214383;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;2432;390;404;29548;119;84;1637;Blå blok
Morten Messerschmidt;MortenMesserschmidt;https://www.facebook.com/111394892261429;29663;17822;5473;2336;77673;34164;111837;69%;0;1379;6;1;1158;105;1011;464;1294;0;21854;1%;38;1;61085;97;0%;58252;198;0%;Dansk Folkeparti;https://www,facebook,com/111394892261429;Politiker;Mand;Side;MF'ere;;;20190615;201906;781;144;61;7767;34;30;575;Blå blok
Dennis Flydtkjær;DennisFlydtkjaer;https://www.facebook.com/114777238691209;3127;1580;644;330;0;0;0;0%;359;359;0;0;44;15;182;42;290;0;2153;5,60%;16;1;3513;57;2%;3435;58;2%;Dansk Folkeparti;https://www,facebook,com/114777238691209;Politiker;Mand;Side;MF'ere;;;20190615;201906;195;40;21;0;18;3;135;Blå blok
René Christensen - Dansk Folkeparti;ReneChristensenDF;https://www.facebook.com/183312979158588;2355;1311;484;308;2445;7993;10438;23,00%;140;1;2;0;60;11;7;57;117;0;1563;11,47%;22;1;1082;299;38,19%;1112;304;37,62%;Dansk Folkeparti;https://www,facebook,com/183312979158588;Politiker;Mand;Side;MF'ere;;;20190615;201906;107;22;14;611;5;3;71;Blå blok
Peter Kofod - Dansk Folkeparti;peterkofodEU;https://www.facebook.com/337897239700571;28137;15143;4518;2932;0;0;0;0%;0;0;0;0;833;109;570;555;3477;0;20687;4,01%;45;2;15672;185;1,19%;15813;201;1,29%;Dansk Folkeparti;https://www,facebook,com/337897239700571;Politiker;Mand;Side;MEP'ere;;;20190615;201906;625;100;65;0;77;19;460;Blå blok
Dansk Folkeparti;danskfolkeparti;https://www.facebook.com/520449347983427;126005;61248;32702;14583;162714;102631;265345;61%;17000;16999;14;0;2494;371;2047;1640;10920;0;78720;1,67%;73;3;103713;216;0,21%;103374;238;0%;Dansk Folkeparti;https://www,facebook,com/520449347983427;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;1726;448;200;12516;150;34;1078;Blå blok
Kristian Thulesen Dahl;KristianThulesenDahlDF;https://www.facebook.com/531761723507375;71794;43107;14028;3957;91848;47930;139778;66%;16618;3438;23;1;2356;170;2850;1522;3804;0;53809;2,13%;47;2;71879;143;0,20%;72237;410;1%;Dansk Folkeparti;https://www,facebook,com/531761723507375;Politiker;Mand;Side;MF'ere;;;20190615;201906;1528;298;84;10205;81;50;1145;Blå blok
Hans Kristian Skibby;hans.skibby;https://www.facebook.com/636371136504546;1678;891;283;205;473;707;1180;40%;355;0;1;0;26;13;55;36;169;0;1190;1,90%;30;1;2889;3;0,10%;2886;5;0%;Dansk Folkeparti;https://www,facebook,com/636371136504546;Politiker;Mand;Side;MF'ere;;;20190615;201906;56;9;7;473;6;1;40;Blå blok
Lise Bech;Lise.Bech.MF;https://www.facebook.com/665462313475794;10766;6180;1423;1145;2734;454;3188;86%;0;55;4;0;311;58;269;272;1108;0;8198;5,35%;48;2;4236;95;2,29%;4206;100;2%;Dansk Folkeparti;https://www,facebook,com/665462313475794;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;224;30;24;547;23;6;171;Blå blok
Peter Skaarup;skaarupdf;https://www.facebook.com/691707047549076;59659;31765;11294;5562;38625;8767;47392;82%;10241;2175;4;0;968;337;1291;1733;6709;0;42803;1,31%;72;2;63392;11;0,02%;61551;20;0%;Dansk Folkeparti;https://www,facebook,com/691707047549076;Politiker;Mand;Side;MF'ere;;;20190615;201906;829;157;77;4828;93;13;594;Blå blok
Mette Hjermind Dencker;MetteHjermindDencker;https://www.facebook.com/1452632708336329;3582;2520;524;66;4437;2469;6906;64%;0;90;2;0;427;28;8;9;0;0;2992;5,68%;25;1;2529;23;0,92%;2525;27;1%;Dansk Folkeparti;https://www,facebook,com/1452632708336329;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;143;21;3;1109;0;17;120;Blå blok
Karina Adsbøl;karinaadsboldf;https://www.facebook.com/1546433252297862;1612;983;290;120;0;0;0;0%;0;0;0;0;103;3;18;35;60;0;1202;4,02%;11;0;3638;21;1%;3659;25;1%;Dansk Folkeparti;https://www,facebook,com/1546433252297862;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;147;26;11;0;5;9;109;Blå blok
Søren Søndergaard;SorenSondergaard.dk;https://www.facebook.com/47908701568;3522;2078;463;511;21867;6844;28711;76%;0;0;2;0;178;38;55;47;152;0;2548;1,47%;9;0;26609;23;0,09%;25315;37;0%;Enhedslisten;https://www,facebook,com/47908701568;Politiker;Mand;Side;MF'ere;;;20190615;201906;391;51;57;10934;17;20;283;Rød blok
