Parti,Total Interactions,Likes,All Reactions,Comments,Shares,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,3-Min+ Videos,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Photo Posts,Link Posts,Status Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Antal sider,Month,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Interaktion per post per følger,Interaktion per følger,Angry per opslag,Love per opslag,Reaktioner per post,Andel foto post af total,Andel link post af total,Andel tekst post af total,Andel owned video post af total,Andel delte video post af total,Andel andre video post af total,Blok
Alternativet,64446,38543,47484,8841,8121,132788,110161,242949,76816,7139,119,7,4727,418,1192,1006,1598,0,1649,355,701,61,96,372,64,197880,1748,197018,1858,119,20190115,39,05,05,1383,0,0,"1,0","2,9",29,"21,53%","42,51%","3,70%","5,82%","22,56%","3,88%",Rød blok
Andet,74651,35774,51291,8889,14471,206208,134356,340564,10912,8284,98,5,2701,805,1250,1624,9137,0,578,116,368,21,38,23,12,77678,5521,82099,5774,115,20190115,129,15,25,5427,0,01,"15,8","4,7",89,"20,07%","63,67%","3,63%","6,57%","3,98%","2,08%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20190115,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,281221,169100,204249,45052,31920,330620,93512,424132,34487,897,26,2,8629,1593,5320,2508,17099,0,1490,483,832,54,34,76,11,615911,1853,602123,2158,154,20190115,189,30,21,9724,0,0,"11,5","5,8",137,"32,42%","55,84%","3,62%","2,28%","5,10%","0,74%",Blå blok
Enhedslisten,102276,61222,75878,10731,15667,66245,53400,119645,33173,12,12,0,3749,934,553,2494,6926,0,1152,334,658,58,22,71,9,343376,2131,342969,2433,163,20190115,89,09,14,3011,0,0,"6,0","3,3",66,"28,99%","57,12%","5,03%","1,91%","6,16%","0,78%",Rød blok
Frie Grønne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,190,0,2,20190115,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Rød blok
Konservative,124539,83390,100939,18397,5203,327195,52074,379269,58064,2734,42,2,9540,910,1917,1602,3580,0,1546,685,593,67,77,117,7,318233,3242,351116,3209,478,20190115,81,12,03,4249,0,0,"2,3","6,2",65,"44,31%","38,36%","4,33%","4,98%","7,57%","0,45%",Blå blok
Kristendemokraterne,4324,2593,2875,390,1059,8938,15237,24175,2686,0,4,0,92,30,15,103,42,0,156,56,73,7,5,15,0,9896,322,9808,342,26,20190115,28,03,07,1788,0,0,"0,3","0,6",18,"35,90%","46,79%","4,49%","3,21%","9,62%","0,00%",Blå blok
Liberal Alliance,37720,24752,28201,7478,2041,769578,75811,845389,39222,235,22,0,1551,141,738,277,741,1,710,226,254,57,47,123,3,260349,1083,272210,1176,186,20190115,53,11,03,16374,0,0,"1,0","2,2",40,"31,83%","35,77%","8,03%","6,62%","17,32%","0,42%",Blå blok
Moderaterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7492,-16,7531,-14,5,20190115,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
