Page ID,Page name,Disclaimer,Parti,Amount spent (DKK),Number of ads in Library,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat,Day,Blok
111562544999934,Michael Monberg - Alternativet,Alternativet,Alternativet,276,5,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
676061179094769,Alternativet,Alternativet,Alternativet,2948,3,Partiside,Partiside,Side,Nationalt parti,,,20221001,Rød blok
845591568834321,"Franciska Rosenkilde, Alternativet",Allan Hansen Lindemark,Alternativet,409,1,Politiker,Kvinde,Side,,Partileder,FTV kandidat,20221001,Rød blok
111374827309030,Borgmester Karina Vincentz,Karina Vincentz,Andet,105,1,Politiker,Kvinde,Side,,,,20221001,Andet
106908955486176,"Ulrik Knudsen - Folketingskandidat Østjylland, Danmarksdemokraterne",Casper Theilgaard,Danmarksdemokraterne,144,1,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
210317432480139,Charlotte Munch - Politiker,Munch Charlotte,Danmarksdemokraterne,130,1,Politiker,Kvinde,Side,,,FTV kandidat,20221001,Blå blok
437813842938863,Sebastian Mylsted-Schenstrøm - Danmarksdemokraterne,Mylsted-Schenstrøm Sebastian,Danmarksdemokraterne,189,5,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
443490725722399,"Lars Ole Skovgaard Larsen, Folketingskandidat for Danmarksdemokraterne",Victor Paarup Jensen,Danmarksdemokraterne,116,4,Politiker,Mand,Side,,,,20221001,Blå blok
33510214383,Pia Kjærsgaard,Dansk Folkeparti,Dansk Folkeparti,1920,9,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221001,Blå blok
100289749292553,Majbritt Birkholm Dansk Folkeparti,Dansk Folkeparti,Dansk Folkeparti,187,1,Politiker,Kvinde,Side,,,FTV kandidat,20221001,Blå blok
111786634296387,Nana Harring - Dansk Folkeparti,Dansk Folkeparti,Dansk Folkeparti,324,8,Politiker,Kvinde,Side,,,FTV kandidat,20221001,Blå blok
183312979158588,René Christensen - Dansk Folkeparti,Dansk Folkeparti,Dansk Folkeparti,516,6,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
520449347983427,Dansk Folkeparti,Dansk Folkeparti,Dansk Folkeparti,2995,27,Partiside,Partiside,Side,Nationalt parti,,,20221001,Blå blok
418179784893842,Enhedslisten Hillerød,Rasmussen Karl-Erik,Enhedslisten,158,2,Partiside,Partiside,Side,,,,20221001,Rød blok
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,Konservative,766,5,Partiside,Partiside,Side,Nationalt parti,,,20221001,Blå blok
105452445239833,Ole Gade i Folketinget,Ole Gade,Konservative,299,35,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
103043358684459,Mikkel Højsleth - Folketingskandidat,Mikkel Højsleth,Konservative,635,1,Politiker,Mand,Side,,,,20221001,Blå blok
104754988834397,Jakob Axel Nielsen,Det Konservative Folkeparti i Aalborg,Konservative,195,7,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
104855648907404,Klaus Nyengaard,Klaus Randel Nyengaard,Konservative,1503,8,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
