Parti,Antal sider,Brugt i alt,Antal annoncer,Day,Blok
Alternativet,3,3633,9,20221001,Rød blok
Andet,1,105,1,20221001,Andet
Danmarksdemokraterne,4,579,11,20221001,Blå blok
Dansk Folkeparti,5,5942,51,20221001,Blå blok
Enhedslisten,1,158,2,20221001,Rød blok
Konservative,26,17061,153,20221001,Blå blok
Kristendemokraterne,1,199,3,20221001,Blå blok
Liberal Alliance,3,1088,21,20221001,Blå blok
Moderaterne,2,1076,23,20221001,Blå blok
Nye Borgerlige,5,1905,149,20221001,Blå blok
Radikale Venstre,8,2250,44,20221001,Rød blok
Socialdemokratiet,10,9373,66,20221001,Rød blok
Socialistisk Folkeparti,12,4599,39,20221001,Rød blok
Venstre,24,10111,295,20221001,Blå blok
Alternativet,4,2695,13,20221002,Rød blok
Danmarksdemokraterne,4,509,11,20221002,Blå blok
Dansk Folkeparti,6,5890,54,20221002,Blå blok
Enhedslisten,1,164,2,20221002,Rød blok
Konservative,22,16407,139,20221002,Blå blok
Kristendemokraterne,2,383,9,20221002,Blå blok
Liberal Alliance,4,1121,25,20221002,Blå blok
Moderaterne,2,856,11,20221002,Blå blok
Nye Borgerlige,5,2012,163,20221002,Blå blok
Radikale Venstre,9,2468,48,20221002,Rød blok
Socialdemokratiet,9,7507,64,20221002,Rød blok
Socialistisk Folkeparti,13,4087,36,20221002,Rød blok
Venstre,24,10455,301,20221002,Blå blok
Alternativet,3,843,10,20221003,Rød blok
Danmarksdemokraterne,4,500,12,20221003,Blå blok
Dansk Folkeparti,4,5183,48,20221003,Blå blok
Enhedslisten,2,370,5,20221003,Rød blok
Konservative,28,15738,178,20221003,Blå blok
Kristendemokraterne,2,534,9,20221003,Blå blok
Liberal Alliance,5,8895,36,20221003,Blå blok
Moderaterne,3,2014,24,20221003,Blå blok
Nye Borgerlige,7,2404,164,20221003,Blå blok
Radikale Venstre,11,3260,70,20221003,Rød blok
Socialdemokratiet,6,7005,49,20221003,Rød blok
Socialistisk Folkeparti,12,3487,32,20221003,Rød blok
Venstre,23,10147,304,20221003,Blå blok
Alternativet,3,3031,11,20221004,Rød blok
Danmarksdemokraterne,3,443,10,20221004,Blå blok
Dansk Folkeparti,8,6514,66,20221004,Blå blok
Enhedslisten,1,204,1,20221004,Rød blok
Konservative,31,18653,161,20221004,Blå blok
Kristendemokraterne,2,508,10,20221004,Blå blok
Liberal Alliance,3,1027,25,20221004,Blå blok
Moderaterne,5,4056,38,20221004,Blå blok
Nye Borgerlige,8,2787,169,20221004,Blå blok
Radikale Venstre,11,3420,66,20221004,Rød blok
Socialdemokratiet,7,3047,39,20221004,Rød blok
Socialistisk Folkeparti,15,4229,34,20221004,Rød blok
Venstre,22,9235,299,20221004,Blå blok
Alternativet,3,1366,12,20221005,Rød blok
Danmarksdemokraterne,3,439,12,20221005,Blå blok
Dansk Folkeparti,9,5511,75,20221005,Blå blok
Enhedslisten,3,7569,8,20221005,Rød blok
Konservative,43,32645,508,20221005,Blå blok
Kristendemokraterne,3,898,10,20221005,Blå blok
Liberal Alliance,6,71734,359,20221005,Blå blok
Moderaterne,6,5226,41,20221005,Blå blok
Nye Borgerlige,10,4445,197,20221005,Blå blok
Radikale Venstre,15,4291,89,20221005,Rød blok
Socialdemokratiet,12,11912,78,20221005,Rød blok
Socialistisk Folkeparti,21,8682,64,20221005,Rød blok
Venstre,26,13985,607,20221005,Blå blok
Alternativet,3,484,9,20221006,Rød blok
Andet,1,101,1,20221006,Andet
Danmarksdemokraterne,2,294,22,20221006,Blå blok
Dansk Folkeparti,11,8623,168,20221006,Blå blok
Enhedslisten,3,19188,9,20221006,Rød blok
Konservative,56,78615,575,20221006,Blå blok
Kristendemokraterne,3,871,11,20221006,Blå blok
Liberal Alliance,6,72577,314,20221006,Blå blok
Moderaterne,5,5630,42,20221006,Blå blok
Nye Borgerlige,12,6334,228,20221006,Blå blok
Radikale Venstre,19,6152,113,20221006,Rød blok
Socialdemokratiet,18,28593,115,20221006,Rød blok
Socialistisk Folkeparti,25,20455,115,20221006,Rød blok
Venstre,32,26019,549,20221006,Blå blok
Alternativet,4,2402,15,20221007,Rød blok
Andet,1,202,2,20221007,Andet
Danmarksdemokraterne,2,299,25,20221007,Blå blok
Dansk Folkeparti,13,16302,275,20221007,Blå blok
Enhedslisten,3,10242,7,20221007,Rød blok
Konservative,62,87391,604,20221007,Blå blok
Kristendemokraterne,5,1258,14,20221007,Blå blok
Liberal Alliance,6,142519,270,20221007,Blå blok
Moderaterne,6,9633,57,20221007,Blå blok
Nye Borgerlige,13,7068,230,20221007,Blå blok
Radikale Venstre,17,6632,105,20221007,Rød blok
Socialdemokratiet,19,40106,131,20221007,Rød blok
Socialistisk Folkeparti,27,19390,153,20221007,Rød blok
Venstre,32,29415,585,20221007,Blå blok
