ID,Side navn,Disclaimer,Brugt i alt,Annoncer i bibliotek,Parti,Partiside eller politiker,Blok,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
100796691875256,"Lars Holstein, Alternativet",Lars Holstein Petersen,647,2,Alternativet,Politiker,Rød blok,Mand,Side,,,
100815495869327,Troels Chr. Jakobsen - Å,Alternativet,2434,8,Alternativet,Politiker,Rød blok,Mand,Side,,,FTV kandidat
104794374469979,Simon Nyborg Jensen,Simon Nyborg Jensen,3284,7,Alternativet,Politiker,Rød blok,Mand,Side,,,
111070111733153,Anette Jensen Smith - Å,Anette Jensen Smith,516,1,Alternativet,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
111562544999934,Michael Monberg - Alternativet,Alternativet,73571,42,Alternativet,Politiker,Rød blok,Mand,Side,,,FTV kandidat
112101684847939,Mikkel Larsson - Alternativet,Larsson Mikkel Hoj Bagger,1569,8,Alternativet,Politiker,Rød blok,Mand,Side,,,FTV kandidat
176564056237560,Alternativets Ulla Munksgaard,Ulla Munksgaard,1818,14,Alternativet,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
230928363621840,Line Gessø,Hansen Line Gesso Storm,2800,14,Alternativet,Politiker,Rød blok,Kvinde,Side,,,
236827581617851,Christina Olumeko - Alternativet,Christina Sade Olumeko,4345,7,Alternativet,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
297522764191243,Sofie Groth,Nielsen Oliver Milan Meiniki,167,3,Alternativet,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
297522764191243,Sofie Groth,These ads ran without a disclaimer,122,1,Alternativet,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
298157037041855,Qasam Nazir Ahmad - Alternativet,Alternativet,10749,20,Alternativet,Politiker,Rød blok,Mand,Side,,,
384096285727523,Lars Corvinius Olesen,Lars Corvinius Olesen,2578,16,Alternativet,Politiker,Rød blok,Mand,Side,,,FTV kandidat
676061179094769,Alternativet,Alternativet,141488,56,Alternativet,Partiside,Rød blok,Partiside,Side,Nationalt parti,,
845591568834321,Franciska Rosenkilde,Allan Hansen Lindemark,9950,10,Alternativet,Politiker,Rød blok,Kvinde,Side,,Partileder,FTV kandidat
1327955487287048,Allon Hein Sørensen,Sorensen Allon Hein,12450,25,Alternativet,Politiker,Rød blok,Mand,Side,,,
1434894720136798,Alternativet Nordjylland,Alternativet Nordjylland,10413,14,Alternativet,Partiside,Rød blok,Partiside,Side,,,
1630886627149114,Alternativets Unge,Alternativets Unge,897,2,Alternativet,Partiside,Rød blok,Partiside,Side,,,
1863305493926398,Kim Hjerrild Alternativet,Kim Hjerrild,1259,2,Alternativet,Politiker,Rød blok,Mand,Side,,,FTV kandidat
105004466262954,Frit Forum Århus,Frit Forum Århus,1616,3,Andet,Partiside,Andet,Partiside,Side,,,
