Parti,Totale interaktioner,Reaktioner i alt,Kommentarer,Delinger,Antal sider,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,Likes,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Day,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Angry per opslag,Love per opslag,Reaktioner per opslag,Blok
Alternativet,1800,1426,339,35,164,1063,1,1064,1,0,1,1176,107,9,107,1,15,11,30,2,1,0,255438,72,261334,77,20221001,60,11,1,532,1,4,48,Rød blok
Andet,3455,2353,771,331,115,274704,2163,276867,0,0,2,1764,89,33,303,82,66,16,16,1,0,0,195513,40,205409,38,20221001,216,48,21,274704,4,6,147,Andet
Danmarksdemokraterne,1107,897,172,38,34,0,0,0,71,0,0,797,39,2,29,2,22,6,15,0,2,0,297794,125,315747,130,20221001,74,11,3,0,1,3,60,Blå blok
Dansk Folkeparti,4048,3129,534,385,157,245,38,283,86,0,0,2909,119,2,68,2,19,10,24,1,3,0,560530,79,569948,101,20221001,169,22,16,245,1,5,130,Blå blok
Enhedslisten,3804,2957,656,191,186,26,54,80,1013,0,3,2621,187,7,72,27,16,27,32,1,3,0,516630,178,532065,180,20221001,119,21,6,26,1,6,92,Rød blok
Frie Grønne,2438,1376,996,66,10,0,0,0,0,0,0,1081,98,17,82,54,21,23,4,0,0,0,32346,24,35229,28,20221001,610,249,17,0,5,25,344,Rød blok
Konservative,4680,3823,684,173,505,62056,1807,63863,39,91,14,3381,262,3,113,5,23,36,47,5,1,0,632454,112,666892,107,20221001,100,15,4,12411,0,6,81,Blå blok
Kristendemokraterne,70,63,3,4,41,0,0,0,0,0,0,58,4,0,0,0,0,1,8,0,0,1,63214,57,66715,55,20221001,9,0,1,0,0,1,8,Blå blok
Liberal Alliance,621,542,62,17,216,1547,51,1598,272,0,0,494,32,3,7,0,6,0,28,3,1,0,389747,137,419565,146,20221001,22,2,1,516,0,1,19,Blå blok
Løsgænger,510,476,31,3,4,0,0,0,0,0,0,441,30,2,1,0,0,2,2,0,0,0,112609,1,140895,-1,20221001,255,16,2,0,0,15,238,Andet
Moderaterne,137,115,3,19,40,301,291,592,0,0,1,109,4,0,1,0,0,1,10,2,0,0,231184,12,233038,10,20221001,14,0,2,151,0,0,12,Blå blok
Nye Borgerlige,16399,14428,1389,582,138,0,0,0,1587,0,0,13759,353,8,220,2,66,20,36,0,5,0,626099,142,730257,147,20221001,456,39,16,0,2,10,401,Blå blok
Radikale Venstre,3947,3082,770,95,255,4575,1036,5611,97,0,4,2563,328,6,59,26,66,34,49,5,2,0,641975,64,667926,65,20221001,81,16,2,915,1,7,63,Rød blok
Socialdemokratiet,36087,30421,4918,748,577,22993,4669,27662,182,0,25,26256,1971,112,681,42,176,1183,97,11,4,0,1613425,337,1727802,311,20221001,372,51,8,2090,2,20,314,Rød blok
Socialistisk Folkeparti,11827,9811,1670,346,346,9675,38,9713,0,0,0,8630,556,16,108,46,13,442,50,1,0,0,691748,137,711138,135,20221001,237,33,7,9675,0,11,196,Rød blok
Venstre,5535,4581,720,234,617,16076,1497,17573,425,0,5,4170,97,38,163,51,51,11,86,7,6,0,942073,91,987470,68,20221001,64,8,3,2297,1,1,53,Blå blok
Alternativet,457,399,27,31,164,30,2,32,332,0,0,339,53,1,1,1,3,1,18,1,1,0,255469,27,261421,55,20221002,25,2,2,30,0,3,22,Rød blok
Andet,143,125,10,8,115,0,0,0,9,0,0,107,4,0,14,0,0,0,13,0,1,0,195548,35,205441,32,20221002,11,1,1,0,0,0,10,Andet
Danmarksdemokraterne,8404,5781,2287,336,34,1135,374,1509,16,0,0,4229,30,67,537,50,860,8,26,1,1,1,298098,304,316070,323,20221002,323,88,13,1135,33,1,222,Blå blok
Dansk Folkeparti,7660,5071,1887,702,157,77796,1737,79533,212,0,4,3724,288,43,292,34,672,18,51,1,3,0,560647,117,570063,115,20221002,150,37,14,77796,13,6,99,Blå blok
Enhedslisten,3109,2641,308,160,186,44,1,45,0,0,0,2289,271,9,18,18,16,20,34,1,0,0,516816,186,532253,188,20221002,91,9,5,44,0,8,78,Rød blok
Frie Grønne,740,575,120,45,10,362,783,1145,0,0,0,497,44,1,23,2,2,6,7,1,0,0,32374,28,35260,31,20221002,106,17,6,362,0,6,82,Rød blok
Konservative,9285,6831,2135,319,505,7127,1255,8382,372,0,2,5347,210,60,663,74,442,35,74,6,4,0,632572,118,667003,111,20221002,125,29,4,1188,6,3,92,Blå blok
Kristendemokraterne,701,497,134,70,41,2753,1353,4106,426,212,3,438,24,1,26,1,2,5,41,3,5,0,63237,23,66738,23,20221002,17,3,2,918,0,1,12,Blå blok
Liberal Alliance,857,628,203,26,216,4063,165,4228,0,0,2,577,12,5,21,1,9,3,18,2,0,0,389917,170,419737,172,20221002,48,11,1,2032,1,1,35,Blå blok
Løsgænger,2417,2006,388,23,4,0,0,0,0,0,0,1846,83,11,23,19,1,23,2,0,0,1,112615,6,140886,-9,20221002,1209,194,12,0,1,42,1003,Andet
Moderaterne,130,105,8,17,40,145,397,542,66,0,2,101,4,0,0,0,0,0,10,2,1,0,231226,42,233080,42,20221002,13,1,2,73,0,0,11,Blå blok
Nye Borgerlige,19321,15418,1964,1939,138,78827,32709,111536,153,0,5,12114,1205,45,1745,25,228,56,50,3,3,0,626378,279,730539,282,20221002,386,39,39,26276,5,24,308,Blå blok
Radikale Venstre,3598,2827,632,139,255,24959,2948,27907,0,0,2,2347,289,11,64,5,67,44,60,6,0,0,642001,26,667950,24,20221002,60,11,2,4160,1,5,47,Rød blok
Socialdemokratiet,40480,33689,6107,684,577,1382,623,2005,1324,0,15,29148,3175,48,583,89,232,414,92,5,2,1,1613594,169,1727956,154,20221002,440,66,7,276,3,35,366,Rød blok
Socialistisk Folkeparti,6101,5213,649,239,346,25125,3378,28503,15,51,1,4531,414,13,45,91,14,105,37,3,1,0,691863,115,711255,117,20221002,165,18,6,8375,0,11,141,Rød blok
Venstre,11555,9066,2057,432,617,10684,1218,11902,72,0,2,8110,170,35,546,34,125,46,91,3,4,1,942233,160,987574,104,20221002,127,23,5,3561,1,2,100,Blå blok
Alternativet,3276,2762,333,181,164,350,326,676,29,46,1,2244,436,17,18,2,27,18,43,3,2,0,255514,45,261420,-1,20221003,76,8,4,117,1,10,64,Rød blok
Andet,1539,1186,225,128,115,76480,1872,78352,21,0,3,889,102,2,152,4,23,14,23,1,1,0,195556,8,205440,-1,20221003,67,10,6,76480,1,4,52,Andet
Danmarksdemokraterne,778,671,74,33,34,610,271,881,0,0,0,604,52,0,6,0,4,5,17,2,0,3,298201,103,316194,124,20221003,46,4,2,305,0,3,39,Blå blok
Dansk Folkeparti,13383,10455,1466,1462,157,39905,1123,41028,39,0,1,6857,3350,48,58,35,78,29,51,2,2,0,560601,-46,570096,33,20221003,262,29,29,19953,2,66,205,Blå blok
Enhedslisten,4711,3820,717,174,186,0,0,0,81,0,0,3335,286,6,128,5,40,20,46,0,1,0,516804,-12,532247,-6,20221003,102,16,4,0,1,6,83,Rød blok
Frie Grønne,617,434,130,53,10,0,0,0,40,0,0,392,28,0,10,0,0,4,3,0,1,0,32389,15,35268,8,20221003,206,43,18,0,0,9,145,Rød blok
Konservative,8588,6863,1450,275,505,14020,448,14468,42,0,3,5767,773,28,173,9,57,56,73,5,3,0,632654,82,667061,58,20221003,118,20,4,2804,1,11,94,Blå blok
Kristendemokraterne,31758,15291,2150,14317,41,1516,1302,2818,133,0,5,13798,1332,18,82,5,15,41,17,3,3,0,63621,384,67116,378,20221003,1868,126,842,505,1,78,899,Blå blok
