Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Jakob Ellemann-Jensen,jakobellemann,100044564643750,POLITICIAN,DK,"Venstres formand
Medlem af Folketinget",2016-05-04 09:50:59,44659,52760,2022-11-01 18:56:51 CET,2022-11-01,18:56:51,Photo,"5,314",4130,392,17,684,2,8,0,2,79,,-,0,0,0,N/A,https://www.facebook.com/100044564643750/posts/661521408676675,"Der er rigtig mange at takke i løbet af en valgkamp. Men der er én over dem alle, og det er min hustru Anne Marie. Mit livs kærlighed. Det kræver stor tålmodighed at være gift med en politiker. Særligt i en valgkamp, hvor vi sjældent er hjemme, og hvor opmærksomheden kan flagre lidt. Den tålmodighed og den kærlighed har du. En enorm kærlighed. Den mærker jeg hele vejen og mere til, og det er jeg så uendelig taknemlig for. Tak for at passe på mig. Tak for at passe på os og på vores dejlige familie.",https://www.facebook.com/photo.php?fbid=661521152010034&set=a.344944807001005&type=3,,,,,,,,2.14
"Marianne Karlsmose, KD-politiker",MarianneKarlsmose,100063856775068,POLITICIAN,DK,"Mor til 3
stud. socialrådgiver
Landsformand for KD, Regionsrådsmedlem
kd.dk/marianne-karlsmose",2019-02-02 13:54:33,1996,2206,2022-11-01 17:57:51 CET,2022-11-01,17:57:51,Photo,114,89,7,0,17,0,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/100063856775068/posts/512389510899604,God valgaften. Krydset og kursen er sat. Nu må vælgerne tale ❤️🔥,https://www.facebook.com/photo.php?fbid=2359029047582504&set=p.2359029047582504&type=3,,,Marianne,"Kursen er sat mod Christiansborg med en omgang valgflæsk på vejen. 

Jeg glæder mig til valgfest på Borgen. Valgdagen er demokratiets festdag.

Jeg er fantastisk stolt af mine partifæller - alle vores kandidater og frivillige der har knoklet trods hårde odds.

Uanset resultatet er jeg så stolt over, hvad vi har nået med de få ressourcer og den situation som vi har stået i.

Uanset resultatet så er der heldigvis rigtig meget at glæde sig over i livet ❤️",,,,1.12
Søren Pape Poulsen,SorenPapePoulsen,100044117301725,POLITICIAN,DK,Formand for Det Konservative Folkeparti og tidligere justitsminister. ,2014-08-12 17:51:53,89364,93595,2022-11-01 17:54:59 CET,2022-11-01,17:54:59,Photo,"1,530",1107,243,45,90,1,31,1,4,8,,-,0,0,0,N/A,https://www.facebook.com/100044117301725/posts/675819617231942,"Sidste kald! Nu skal vi have de sidste ned og stemme for et mere frit og rigt Danmark. Del gerne opslaget her og fortæl, hvorfor du stemmer konservativt 💚 God valgaften!",https://www.facebook.com/photo.php?fbid=675819433898627&set=a.268372681309973&type=3,,,,,,,,-2.24
Lars Løkke Rasmussen,larsloekke,100044390410889,POLITICIAN,DK,"MF, tidligere statsminister, stifter af LøkkeFonden, initiativtager til Det Politiske Mødested",2009-03-17 11:35:11,213250,214216,2022-11-01 17:23:45 CET,2022-11-01,17:23:45,Photo,"2,875",2387,376,23,51,3,10,1,18,6,,-,0,0,0,N/A,https://www.facebook.com/100044390410889/posts/670850791071262,"Dagen er ved at gå på hæld, og valgstederne lukker om lidt. Tak for en god valgkamp.",https://www.facebook.com/photo.php?fbid=670849744404700&set=a.349440306545647&type=3,,,,,,,,1.28
Mai Villadsen,Mai.Villadsen.Enhedslisten,100058145316378,POLITICIAN,DK,"Politisk ordfører for Enhedslisten.
Arbejder for bedre velfærd, mere klimahandling og mindre ulighed!",2019-01-24 15:51:16,21053,22591,2022-11-01 16:43:25 CET,2022-11-01,16:43:25,Photo,"1,467",1063,130,11,232,0,16,1,4,10,,-,0,0,0,N/A,https://www.facebook.com/100058145316378/posts/527163979231775,"Så har jeg stemt ❤️💚 Der er brug for et stærkt Enhedslisten. Derfor håber jeg virkelig, du vil give din stemme til os 🙏🏼",https://www.facebook.com/photo.php?fbid=527163965898443&set=a.261042145843961&type=3,,,,,,,,1.55
Sikandar Siddique,sikandar.siddique.politiker,100063606495233,POLITICIAN,DK," Former Member of Parliament (DK)
Political leader of Independent Greens
(Frie Grønne)",2021-01-08 10:52:15,17536,19376,2022-11-01 15:27:02 CET,2022-11-01,15:27:02,Native Video,"1,680",938,467,16,152,0,78,0,17,12,owned,Yes,30740,31508,0,00:00:41,https://www.facebook.com/100063606495233/posts/544457901017755,"Kære venner, Hold nu op, hvor er det en fantastisk dag! Tusind tak til alle jer, der skriver til os, at I har stemt. Det vælter en med beskeder. Det gør mig simpelthen så glad at mærke jeres opbakning. Tak. ✊🏽❤️",https://www.facebook.com/sikandar.siddique.politiker/videos/1324796561666375/,,,,,,,,2.18
Mette Frederiksen,mettefrederiksen.dk,100044576643050,POLITICIAN,DK,Statsminister og formand for Socialdemokratiet. Jeg fører ikke profilen som statsminister. ,2009-03-12 21:24:01,340299,384633,2022-11-01 15:17:46 CET,2022-11-01,15:17:46,Photo,"10,160",7307,1142,109,1383,5,37,3,44,130,,-,0,0,0,N/A,https://www.facebook.com/100044576643050/posts/678011860361363,"Min søde far kom forbi kampagnen i Aalborg i dag ❤️ Nu er det jer, der vælger. Skal vi have mandat til at stå i spidsen for en ny regering? Eller skal ansvaret for at lede vores land overlades til en anden? Jeg håber, du vil stemme på Socialdemokratiet🌹",https://www.facebook.com/photo.php?fbid=678011843694698&set=a.396459791849906&type=3,,,,,,,,1.23
Morten Messerschmidt,MortenMesserschmidt,100044379401397,POLITICIAN,DK,"Velkommen til den officielle Facebook-side for Morten Messerschmidt. 

",2010-11-11 15:16:21,75361,78669,2022-11-01 14:50:35 CET,2022-11-01,14:50:35,Photo,"3,846",3112,483,98,127,2,11,0,2,11,,-,0,0,0,N/A,https://www.facebook.com/100044379401397/posts/677131140442860,"Nu har jeg gjort min borgerpligt. Husk også at gøre din! For uanset hvad du stemmer, så skal vi have en høj valgdeltagelse. For folkestyrets skyld. Men mindst lige så vigtigt er det, at vi har et stærkt Dansk Folkeparti. For udlændingepolitikkens skyld. Uden DF sejler det! For de ældres skyld. Vi er de eneste, der konsekvent taler de ældres sag. For de økonomisk hårdt trængtes skyld. For vi er de eneste, der kræver en hjælpepakke ud til danskerne før jul. Og for Danmarks skyld. Fordi der også skal være et Danmark at overdrage til næste generation. Et Danmark, hvor vi sætter danskerne først. Jeg håber at kunne regne med dig!",https://www.facebook.com/photo.php?fbid=677130220442952&set=a.263201378502507&type=3,,"‎one or more people and people standing, ‎'‎ORDRUP Folketingsvalget LO مو‎'‎‎",,,,,,1.95
Inger Støjberg,IngerStojberg,100044534615134,POLITICIAN,DK,"Student fra Morsø Gymnasium
Uddannet fra InformationsAkademiet
MBA (Master of Business Administration), Aalborg Universitet, 2013
Redaktør på Viborg Bladet (1999-2001)
Amtsrådsmedlem (1994-2001)
Medlem af Folketinget (2001-
Beskæftigelsesminister(2009-2011)",2011-05-10 07:43:02,200802,217976,2022-11-01 14:01:40 CET,2022-11-01,14:01:40,Live Video Complete,"1,310",722,296,23,246,0,6,0,4,13,owned,Yes,18979,19932,0,00:09:30,https://www.facebook.com/100044534615134/posts/618022353438397,Inger live fra bussen,https://www.facebook.com/IngerStojberg/videos/618022353438397/,,,Inger live fra bussen,,,,,-2.24
Pia Olsen Dyhr,pia.olsen.dyhr,100044404390308,POLITICIAN,DK,Formand for SF,2008-11-19 09:16:45,85041,87024,2022-11-01 13:06:13 CET,2022-11-01,13:06:13,Photo,"3,378",2522,435,11,382,0,6,1,5,16,,-,0,0,0,N/A,https://www.facebook.com/100044404390308/posts/669923344497806,"Så har jeg stemt 💚❤️ Jeg har selvfølgelig stemt på SF! For klimaet, naturen og for vores børns og unges trivsel 💪 Og jo jo så har jeg stemt på mig selv 😍 Husk at gå ned og stemme! God valgdag",https://www.facebook.com/photo.php?fbid=669922391164568&set=a.349705189852958&type=3,,,,,,,,1.64
