Navn,Parti,Afspilninger,Fans,Engagement,Reaktioner per afspilning,Delinger,Profile Likes,Likes,Kommentarer,Antal opslag,Profile Videos count (overall),Følgerudvikling,Totalt antal interaktioner,Video length in s (average),Profile-ID,Link,Interaktioner per afspilning,Storkreds,Køn,Uge
Rosa Lund,Enhedslisten,415700,3615,7.56E-01,0.02252581366,320,67800,18033,628,4,65,116,18981,9.5,7053976672089867269,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7053976672089867269&n=TIKTOK&tl0=profiles,0.04566033197,Københavns Storkreds,K,20220914
Carsten Andersen,Liberal Alliance,308858,333,2.999710014,0.006214820017,114,4788,6812,41,2,22,51,6967,5.5,6959278781518906373,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6959278781518906373&n=TIKTOK&tl0=profiles,0.0225572917,Sydjyllands Storkreds,M,20220914
Ellen Emilie Mindegaard-Müllertz,Moderaterne,242293,,2.58296362,0.01029803939,20,,17293,153,3,,,17466,28.33333333,7002104883441517574,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7002104883441517574&n=TIKTOK&tl0=profiles,0.07208627571,Københavns Storkreds,,20220914
Erick Thürmer,Moderaterne,204528,9347,0.1412714128,0.02842656356,236,35000,7903,532,7,56,1812,8671,108.1428571,6982821061944624134,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6982821061944624134&n=TIKTOK&tl0=profiles,0.04239517328,Nordsjællands Storkreds,M,20220914
Rishigeshan Balachandran,Frie Grønne,169512,103,8.910320262,0.01940469555,50,2109,5462,582,4,14,25,6094,12.75,7100270896913105925,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7100270896913105925&n=TIKTOK&tl0=profiles,0.03595025721,Nordsjællands Storkreds,M,20220914
Niko Grünfeld,Frie Grønne,96500,11000,0.1377792208,0.0157054034,74,153600,9892,643,1,34,300,10609,5,6916160305756865542,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6916160305756865542&n=TIKTOK&tl0=profiles,0.1099378238,Østjyllands Storkreds,M,20220914
Karina Lorentzen Dehnhardt,SF,95210,1570,4.52E-01,0.01380323779,15,26700,4730,64,2,47,73,4809,20,6829188372150895621,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6829188372150895621&n=TIKTOK&tl0=profiles,0.05050940027,Sydjyllands Storkreds,K,20220914
Frie Grønne,Frie Grønne,89709,5843,0.05788655818,0.01458735763,102,131300,1875,386,3,117,47,2363,24.33333333,6976535639811982342,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6976535639811982342&n=TIKTOK&tl0=profiles,0.0263407239,,,20220914
Liberal Alliance,Liberal Alliance,63200,28100,0.01967625899,0.008655063291,231,438700,3493,105,1,62,500,3829,15,6919441762524185605,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6919441762524185605&n=TIKTOK&tl0=profiles,0.06058544304,,,20220914
Jan Kristoffersen,Alternativet,58900,3977,0.2181177582,0.0145646374,304,65700,5481,220,1,35,350,6005,23,7075589074271388677,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7075589074271388677&n=TIKTOK&tl0=profiles,0.1019524618,Københavns Storkreds,M,20220914
