Page ID,Page Name,Disclaimer,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
101609428445024,Katrine Skov-Hansen - Alternativet,Katrine Emilie Rye Skov-Hansen,Alternativet,https://www.facebook.com/101609428445024,Politiker,Kvinde,Side,,,
1378501112236847,"Stine Isaksen, Alternativet",Isaksen Stine,Alternativet,https://www.facebook.com/1378501112236847,Politiker,Kvinde,Side,,,FTV kandidat
236827581617851,Christina Olumeko - Alternativet,Christina Sade Olumeko,Alternativet,https://www.facebook.com/236827581617851,Politiker,Kvinde,Side,,,FTV kandidat
1202144586507625,Stine Bardeleben Helles,Helles Stine,Alternativet,https://www.facebook.com/1202144586507625,Politiker,Kvinde,Side,,,
176564056237560,Alternativets Ulla Munksgaard,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/176564056237560,Politiker,Kvinde,Side,,,FTV kandidat
230928363621840,Line Gessø,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/230928363621840,Politiker,Kvinde,Side,,,
319045645173668,Mira Issa Bloch,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/319045645173668,Politiker,Kvinde,Side,,,FTV kandidat
103540631705004,Sikandar Siddique,Sikandar Siddique,Frie Grønne,https://www.facebook.com/103540631705004,Politiker,Mand,Side,MF'ere,Partileder,FTV kandidat
406921453049822,Theresa Scavenius,Theresa Scavenius,Alternativet,https://www.facebook.com/406921453049822,Politiker,Kvinde,Side,,,
100796691875256,"Lars Holstein, Alternativet",Lars Holstein Petersen,Alternativet,https://www.facebook.com/100796691875256,Politiker,Mand,Side,,,
132185414059785,Kenni Flink - Alternativet Albertslund,Kenni Flink,Alternativet,https://www.facebook.com/132185414059785,Politiker,Mand,Side,,,
1327955487287048,Allon Hein Sørensen,Sorensen Allon Hein,Alternativet,https://www.facebook.com/1327955487287048,Politiker,Mand,Side,,,
1863305493926398,Kim Hjerrild Alternativet,Kim Hjerrild,Alternativet,https://www.facebook.com/1863305493926398,Politiker,Mand,Side,,,FTV kandidat
1590547631204591,Rune Ranaivo Bjerremand - Folketingskandidat i Syd og Sønderjylland - Å,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/1590547631204591,Politiker,Mand,Side,,,
1593837374204311,Anders Stjernholm,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/1593837374204311,Politiker,Mand,Side,,,
188240114912811,Mikkel Holm-Pedersen,Holm-Pedersen Mikkel,Alternativet,https://www.facebook.com/188240114912811,Politiker,Mand,Side,,,
2213595128921256,Simon Leed Krøs,Krøs Simon Leed,Alternativet,https://www.facebook.com/2213595128921256,Politiker,Mand,Side,,,
2630196610383855,Ken Patrick Petersson Alternativet,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/2630196610383855,Politiker,Mand,Side,,,
306148590197748,Thomas Anker Alternativet,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/306148590197748,Politiker,Mand,Side,,,FTV kandidat
331406263723146,Niko Grünfeld,,Alternativet,https://www.facebook.com/331406263723146,Politiker,Mand,Side,,,FTV kandidat
332103627167661,Susanne Zimmer - Politiker,Zimmer Susanne,Frie Grønne,https://www.facebook.com/332103627167661,Politiker,Kvinde,Side,MF'ere,,FTV kandidat
624997597617239,Christian Poll,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/624997597617239,Politiker,Mand,Side,,,
703189143195558,Søren Haastrup Alternativet,Søren Haastrup,Alternativet,https://www.facebook.com/703189143195558,Politiker,Mand,Side,,,
751124808611554,Shahzad Riaz - Folketingskandidat,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/751124808611554,Politiker,Mand,Side,,,
1385135711540207,Alternativet Haderslev,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/1385135711540207,Partiside,Partiside,Side,,,
1386138498380111,Alternativet Nordsjælland,Alternativet Nordsjælland,Alternativet,https://www.facebook.com/1386138498380111,Partiside,Partiside,Side,,,
1434894720136798,Alternativet Nordjylland,Alternativet Nordjylland,Alternativet,https://www.facebook.com/1434894720136798,Partiside,Partiside,Side,,,
1480922605314412,Alternativets Unge Aalborg,Alternativets Unge Aalborg,Alternativet,https://www.facebook.com/1480922605314412,Partiside,Partiside,Side,,,
1496874740636351,Alternativet Frederiksberg,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/1496874740636351,Partiside,Partiside,Side,,,
1630886627149114,Alternativets Unge,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/1630886627149114,Partiside,Partiside,Side,,,
1640074379344528,Alternativet Aalborg,Alternativet Aalborg,Alternativet,https://www.facebook.com/1640074379344528,Partiside,Partiside,Side,,,
1645812852307131,Alternativet - Storkreds København,Alternativet,Alternativet,https://www.facebook.com/1645812852307131,Partiside,Partiside,Side,,,
1741535392727168,Alternativet Aarhus,Alternativet Aarhus,Alternativet,https://www.facebook.com/1741535392727168,Partiside,Partiside,Side,,,
1894932524075271,Alternativet København,Alternativet,Alternativet,https://www.facebook.com/1894932524075271,Partiside,Partiside,Side,,,
1964549413771770,Alternativet i Gribskov,Alternativet Gribskov,Alternativet,https://www.facebook.com/1964549413771770,Partiside,Partiside,Side,,,
239474236443525,Alternativet Furesø,Alternativet Furesø,Alternativet,https://www.facebook.com/239474236443525,Partiside,Partiside,Side,,,
676061179094769,Alternativet,Alternativet,Alternativet,https://www.facebook.com/676061179094769,Partiside,Partiside,Side,Nationalt parti,,
756016331163316,Alternativet Sydjylland,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/756016331163316,Partiside,Partiside,Side,,,
885008051517360,Alternativet Østjylland,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/885008051517360,Partiside,Partiside,Side,,,
931349033613182,Alternativet på Bornholm,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/931349033613182,Partiside,Partiside,Side,,,
935441096507239,Alternativet Nørrebro,These ads ran without a disclaimer,Alternativet,https://www.facebook.com/935441096507239,Partiside,Partiside,Side,,,
110249839684672,Simon Fyhn Kristensen. Byrådskandidat for Alternativet Odder,Simon Fyhn Kristensen. Byrådskandidat for Alternativet Odder,Alternativet,https://www.facebook.com/110249839684672,Politiker,Mand,Side,,,
112688786097635,"Jakob Baungaard, byrådskandidat for Alternativet Syddjurs","Jakob Baungaard, byrådskandidat for Alternativet Syddjurs",Alternativet,https://www.facebook.com/112688786097635,Politiker,Mand,Side,,,
116241915752422,Alternativet Sorø,,Alternativet,https://www.facebook.com/116241915752422,Partiside,Partiside,Side,,,
123517741674834,Alternativet i Frederikshavn Kommune,,Alternativet,https://www.facebook.com/123517741674834,Partiside,Partiside,Side,,,
130094037509833,Linda Baagø - Alternativet Horsens,Linda Baagø - Alternativet Horsens,Alternativet,https://www.facebook.com/130094037509833,Politiker,Kvinde,Side,,,
132355947308422,Alternativets Unge - Sydvestjylland,,Alternativet,https://www.facebook.com/132355947308422,Partiside,Partiside,Side,,,
135803096812761,Alternativet Gentofte,,Alternativet,https://www.facebook.com/135803096812761,Partiside,Partiside,Side,,,
172553919586800,Michael Blem Clausen,Michael Blem Clausen,Alternativet,https://www.facebook.com/172553919586800,Politiker,Mand,Side,,,
173818669667309,Alternativet Faxe-Stevns,,Alternativet,https://www.facebook.com/173818669667309,Partiside,Partiside,Side,,,
198154650727899,Morten Bybjerg Nygaard - Alternativet Glostrup,Morten Bybjerg Nygaard - Alternativet Glostrup,Alternativet,https://www.facebook.com/198154650727899,Politiker,Mand,Side,,,
211076742637463,Morten Pedersen - Alternativet Odense,Morten Pedersen - Alternativet Odense,Alternativet,https://www.facebook.com/211076742637463,Politiker,Mand,Side,,,
220277474986667,Alternativet Hedensted,,Alternativet,https://www.facebook.com/220277474986667,Partiside,Partiside,Side,,,
255459704870188,Alternativets Unge i Silkeborg,,Alternativet,https://www.facebook.com/255459704870188,Partiside,Partiside,Side,,,
290845601270802,Alternativet Skanderborg,,Alternativet,https://www.facebook.com/290845601270802,Partiside,Partiside,Side,,,
293722161050031,Katarina Ritz Alternativet,Katarina Ritz Alternativet,Alternativet,https://www.facebook.com/293722161050031,Politiker,Kvinde,Side,,,
296096290895856,Alternativet i Gentofte,,Alternativet,https://www.facebook.com/296096290895856,Partiside,Partiside,Side,,,
330053857204242,Rune Wingård,Rune Wingård,Alternativet,https://www.facebook.com/330053857204242,Politiker,Mand,Side,,,
331211540613233,Alternativet Odense,,Alternativet,https://www.facebook.com/331211540613233,Partiside,Partiside,Side,,,
334403323573814,Alternativet Skive Kommune,,Alternativet,https://www.facebook.com/334403323573814,Partiside,Partiside,Side,,,
352028251912750,Alternativet Gladsaxe,,Alternativet,https://www.facebook.com/352028251912750,Partiside,Partiside,Side,,,
361085057574262,Alternativet Assens,,Alternativet,https://www.facebook.com/361085057574262,Partiside,Partiside,Side,,,
368663840258298,Alternativet Norddjurs,,Alternativet,https://www.facebook.com/368663840258298,Partiside,Partiside,Side,,,
385653298517104,Alternativet Dragør,,Alternativet,https://www.facebook.com/385653298517104,Partiside,Partiside,Side,,,
432475370261965,"Bjarke Charlie Serritslev, Alternativet KBH","Bjarke Charlie Serritslev, Alternativet KBH",Alternativet,https://www.facebook.com/432475370261965,Politiker,Mand,Side,,,
437842259748032,Alternativet - Varde Kommune,,Alternativet,https://www.facebook.com/437842259748032,Partiside,Partiside,Side,,,
461691307509348,Jan Jensen - Alternativet Hillerød,Jan Jensen - Alternativet Hillerød,Alternativet,https://www.facebook.com/461691307509348,Politiker,Mand,Side,,,
462580230756953,Alternativet Hillerød,,Alternativet,https://www.facebook.com/462580230756953,Partiside,Partiside,Side,,,
475629879482990,Christian Vig Alternativet,Christian Vig Alternativet,Alternativet,https://www.facebook.com/475629879482990,Politiker,Mand,Side,,,
485670358476409,Jens Lykkebo - Alternativet Hillerød,Jens Lykkebo - Alternativet Hillerød,Alternativet,https://www.facebook.com/485670358476409,Politiker,Mand,Side,,,
492980190901521,Alternativet Thy-Mors,,Alternativet,https://www.facebook.com/492980190901521,Partiside,Partiside,Side,,,
502087883306899,Alternativets Unge Østjylland,,Alternativet,https://www.facebook.com/502087883306899,Partiside,Partiside,Side,,,
505957679766078,KV 17 Alternativet Herning,,Alternativet,https://www.facebook.com/505957679766078,Partiside,Partiside,Side,,,
542655889270070,Alternativet - Vejle & Opland,,Alternativet,https://www.facebook.com/542655889270070,Partiside,Partiside,Side,,,
587105454776411,Alternativet Ringsted,,Alternativet,https://www.facebook.com/587105454776411,Partiside,Partiside,Side,,,
644545322412405,Alternativets Unge Viborg,,Alternativet,https://www.facebook.com/644545322412405,Partiside,Partiside,Side,,,
689355554592180,Alternativets Unge Odense - ÅUO,,Alternativet,https://www.facebook.com/689355554592180,Partiside,Partiside,Side,,,
700871960099323,Morten Kaj - Alternativet Horsens,Morten Kaj - Alternativet Horsens,Alternativet,https://www.facebook.com/700871960099323,Politiker,Mand,Side,,,
