Page ID,Page Name,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder
461364607347621,Torsten Gejl,Alternativet,https://www.facebook.com/461364607347621,Politiker,Mand,Side,MF'ere,
114777238691209,Dennis Flydtkjær,Danmarksdemokraterne,https://www.facebook.com/114777238691209,Politiker,Mand,Side,MF'ere,
636371136504546,Hans Kristian Skibby,Danmarksdemokraterne,https://www.facebook.com/636371136504546,Politiker,Mand,Side,MF'ere,
636277469745202,Jens Henrik W Thulesen Dahl - Dansk Folkeparti,Danmarksdemokraterne,https://www.facebook.com/636277469745202,Politiker,Mand,Side,MF'ere,
1546433252297862,Karina Adsbøl,Danmarksdemokraterne,https://www.facebook.com/1546433252297862,Politiker,Kvinde,Side,MF'ere,
665462313475794,Lise Bech - Dansk Folkeparti,Danmarksdemokraterne,https://www.facebook.com/665462313475794,Politiker,Kvinde,Side,MF'ere,
691707047549076,Peter Skaarup,Danmarksdemokraterne,https://www.facebook.com/691707047549076,Politiker,Mand,Side,MF'ere,
1408626239355160,Søren Espersen,Danmarksdemokraterne,https://www.facebook.com/1408626239355160,Politiker,Mand,Side,MF'ere,
207401585966233,Inger Støjberg,Danmarksdemokraterne,https://www.facebook.com/207401585966233,Politiker,Kvinde,Side,MF'ere,Partileder
(2110028705977423),Marie Krarup,Dansk Folkeparti,https://www.facebook.com/marie.krarup.79,Politiker,Kvinde,Profil,MF'ere,
1452632708336329,Mette Hjermind Dencker,Dansk Folkeparti,https://www.facebook.com/1452632708336329,Politiker,Kvinde,Side,MF'ere,
111394892261429,Morten Messerschmidt,Dansk Folkeparti,https://www.facebook.com/111394892261429,Politiker,Mand,Side,MF'ere,Partileder
33510214383,Pia Kjærsgaard,Dansk Folkeparti,https://www.facebook.com/33510214383,Politiker,Kvinde,Side,MF'ere,
183312979158588,René Christensen - Dansk Folkeparti,Dansk Folkeparti,https://www.facebook.com/183312979158588,Politiker,Mand,Side,MF'ere,
,Bruno Jerup,Enhedslisten,https://www.facebook.com/bruno.jerup,Politiker,Mand,Profil,MF'ere,
966292950121363,Christian Juhl,Enhedslisten,https://www.facebook.com/966292950121363,Politiker,Mand,Side,MF'ere,
261448183993841,Eva Flyvholm,Enhedslisten,https://www.facebook.com/261448183993841,Politiker,Kvinde,Side,MF'ere,
100255467044528,Henning Hyllested,Enhedslisten,https://www.facebook.com/100255467044528,Politiker,Mand,Side,MF'ere,
,Jakob Sølvhøj,Enhedslisten,https://www.facebook.com/jakob.solvhoj,Politiker,Mand,Profil,MF'ere,
285722315449568,Mai Villadsen,Enhedslisten,https://www.facebook.com/285722315449568,Politiker,Kvinde,Side,MF'ere,Partileder
107053411258805,Peder Hvelplund,Enhedslisten,https://www.facebook.com/107053411258805,Politiker,Mand,Side,MF'ere,
547840621916967,Pernille Skipper,Enhedslisten,https://www.facebook.com/547840621916967,Politiker,Kvinde,Side,MF'ere,
196270790402710,Rasmus Vestergaard Madsen,Enhedslisten,https://www.facebook.com/196270790402710,Politiker,Mand,Side,MF'ere,
195621950482248,Rosa Lund,Enhedslisten,https://www.facebook.com/195621950482248,Politiker,Kvinde,Side,MF'ere,
920392628013629,Rune Lund,Enhedslisten,https://www.facebook.com/920392628013629,Politiker,Mand,Side,MF'ere,
947582238609972,Søren Egge Rasmussen,Enhedslisten,https://www.facebook.com/947582238609972,Politiker,Mand,Side,MF'ere,
47908701568,Søren Søndergaard,Enhedslisten,https://www.facebook.com/47908701568,Politiker,Mand,Side,MF'ere,
449144595224589,Victoria Velásquez,Enhedslisten,https://www.facebook.com/449144595224589,Politiker,Kvinde,Side,MF'ere,
103540631705004,Sikandar Siddique,Frie Grønne,https://www.facebook.com/103540631705004,Politiker,Mand,Side,MF'ere,Partileder
332103627167661,Susanne Zimmer - Politiker,Frie Grønne,https://www.facebook.com/332103627167661,Politiker,Kvinde,Side,MF'ere,
235501083187697,Uffe Elbæk,Frie Grønne,https://www.facebook.com/235501083187697,Politiker,Mand,Side,MF'ere,
314962322593667,Birgitte Bergman,Konservative,https://www.facebook.com/314962322593667,Politiker,Kvinde,Side,MF'ere,
229347797233832,Brigitte Klintskov Jerkel,Konservative,https://www.facebook.com/229347797233832,Politiker,Kvinde,Side,MF'ere,
566443056754736,Egil F. Hulgaard - Politik,Konservative,https://www.facebook.com/566443056754736,Politiker,Mand,Side,MF'ere,
102220115710109,Gitte Willumsen ,Konservative,https://www.facebook.com/102220115710109,Politiker,Kvinde,Side,MF'ere,
1541220236121470,Katarina Ammitzbøll,Konservative,https://www.facebook.com/1541220236121470,Politiker,Kvinde,Side,MF'ere,
397094903687472,Mai Mercado,Konservative,https://www.facebook.com/397094903687472,Politiker,Kvinde,Side,MF'ere,
309867232515766,Mette Abildgaard,Konservative,https://www.facebook.com/309867232515766,Politiker,Kvinde,Side,MF'ere,
2079067062409423,Mona Juul,Konservative,https://www.facebook.com/2079067062409423,Politiker,Kvinde,Side,MF'ere,
177609692660255,Niels Flemming Hansen,Konservative,https://www.facebook.com/177609692660255,Politiker,Mand,Side,MF'ere,
129802704387687,Per Larsen,Konservative,https://www.facebook.com/129802704387687,Politiker,Mand,Side,MF'ere,
162843287205735,Rasmus Jarlov,Konservative,https://www.facebook.com/162843287205735,Politiker,Mand,Side,MF'ere,
952334508116178,Søren Pape Poulsen,Konservative,https://www.facebook.com/952334508116178,Politiker,Mand,Side,MF'ere,Partileder
460055244123143,Britt Bager,Konservative,https://www.facebook.com/460055244123143,Politiker,Kvinde,Side,MF'ere,
291959844520896,Marcus Knuth,Konservative,https://www.facebook.com/291959844520896,Politiker,Mand,Side,MF'ere,
596055947147527,Jens Rohde,Kristendemokraterne,https://www.facebook.com/596055947147527,Politiker,Mand,Side,MF'ere,
671022293105597,Alex Vanopslagh,Liberal Alliance,https://www.facebook.com/671022293105597,Politiker,Mand,Side,MF'ere,Partileder
118948271632865,Henrik Dahl,Liberal Alliance,https://www.facebook.com/118948271632865,Politiker,Mand,Side,MF'ere,
538656116640182,Ole Birk Olesen,Liberal Alliance,https://www.facebook.com/538656116640182,Politiker,Mand,Side,MF'ere,
112566240621640,Bent Bøgsted,Danmarksdemokraterne,https://www.facebook.com/112566240621640,Politiker,Mand,Side,MF'ere,
531761723507375,Kristian Thulesen Dahl,Løsgænger,https://www.facebook.com/531761723507375,Politiker,Mand,Side,MF'ere,
,Liselott Blixt,Løsgænger,https://www.facebook.com/liselott.blixt,Politiker,Kvinde,Profil,MF'ere,
114451443761200,Marie Krarup,Løsgænger,https://www.facebook.com/114451443761200,Politiker,Kvinde,Side,MF'ere,
1995019340791443,Naser Khader,Løsgænger,https://www.facebook.com/1995019340791443,Politiker,Mand,Side,MF'ere,
380183085486892,Orla Østerby i Folketinget,Løsgænger,https://www.facebook.com/380183085486892,Politiker,Mand,Side,MF'ere,
1489320827982521,Simon Emil Ammitzbøll-Bille,Løsgænger,https://www.facebook.com/1489320827982521,Politiker,Mand,Side,MF'ere,
58140803787,Lars Løkke Rasmussen,Moderaterne,https://www.facebook.com/58140803787,Politiker,Mand,Side,MF'ere,Partileder
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,https://www.facebook.com/398454550257699,Politiker,Mand,Side,MF'ere,
718327901589937,Mette Thiesen,Nye Borgerlige,https://www.facebook.com/718327901589937,Politiker,Kvinde,Side,MF'ere,
113158773469624,Pernille Vermund,Nye Borgerlige,https://www.facebook.com/113158773469624,Politiker,Kvinde,Side,MF'ere,Partileder
1104790642968068,Peter Seier Christensen,Nye Borgerlige,https://www.facebook.com/1104790642968068,Politiker,Mand,Side,MF'ere,
132364993978468,Andreas Steenberg,Radikale Venstre,https://www.facebook.com/132364993978468,Politiker,Mand,Side,MF'ere,
190273501371925,Anne Sophie Callesen,Radikale Venstre,https://www.facebook.com/190273501371925,Politiker,Kvinde,Side,MF'ere,
171415843027399,Christina Thorholm,Radikale Venstre,https://www.facebook.com/171415843027399,Politiker,Kvinde,Side,MF'ere,
810476755802044,Kathrine Olldag,Radikale Venstre,https://www.facebook.com/810476755802044,Politiker,Kvinde,Side,MF'ere,
