Storkreds,Parti,Navn,Køn,Profile,Profile-ID
Københavns Storkreds,Alternativet,Christina Sade Olumeko,K,christinaolumeko,7107772229865964549
Københavns Storkreds,Alternativet,Clara Wolf,K,Clara Wolf ,7054634556058403845
Vestjyllands Storkreds,Alternativet,HC Molbech,M,hcmolbech,7044643220781155334
Nordsjællands Storkreds,Alternativet,Helene Liliendahl Brydensholt,K,h.l.brydensholt,7118995779134161926
Københavns Storkreds,Alternativet,Jan Kristoffersen,M,Jan Kristoffersen,7075589074271388677
Nordjyllands Storkreds,Alternativet,Mikkel Høj Bagger Larsson,M,Mikkel Larsson ,7103275822135608325
Københavns Storkreds,Alternativet,Nicklas Hakmann Petersen,M,Nicklas Hakmann,6889753978478363653
Østjyllands Storkreds,Alternativet,Nikoline Erbs Hillers-Bendtsen,K,Nikoline Erbs Hillers-Bendtsen,87719077644783616
,Alternativet,Alternativet,,alternativet_,7138325907227722757
NA,Alternativet,Henrik Vindfeldt,M,Henrik Vindfeldt,6820350388744700934
Københavns Storkreds,Alternativet,Lars Corvinius Olesen,,Lars Corvinius Olese,6835670234625606662
Sjællands Storkreds,Alternativet,Michael Monberg,,Michael Monberg - Alternativet,6829232919930258438
Østjyllands Storkreds,Alternativet,Mira Issa Bloch,,miraissabloch,6847165125147280389
Nordsjællands Storkreds,Alternativet,Nanna Høyrup,,NannaH?yrup,7139824418595800070
Sydjyllands Storkreds,Alternativet,Nilas Bay-Foged,,Nilas Bay-Foged,7126288351304385541
Københavns Storkreds,Alternativet,Noah Reinert Sturis,,Noah Sturis,6909703094159426566
Fyns Storkreds,Alternativet,Simon Nyborg Jensen,,Simon Nyborg (?),7143912859452687365
Københavns Storkreds,Alternativet,Troels Christian Jakobsen,,troelschrjakobsen,7145032895836292102
Østjyllands Storkreds,Alternativet,Helle Wium,,user3237840487470,7145008986009928710
,Andet,Jakob Søgaard Clausen,,Jakob Søgaard Clausen,7103984659075859461
Vestjyllands Storkreds,Danmarksdemokraterne,Dennis Flydtkjær,M,Dennis Flydtkjær,6859794938125796357
Vestjyllands Storkreds,Danmarksdemokraterne,Mathias Landeværn,M,Matthias Landeværn,6925517731580855302
Vestjyllands Storkreds,Danmarksdemokraterne,Betina Kastbjerg,,Betina Kastbjerg,7129847530422813702
Nordsjællands Storkreds,Danmarksdemokraterne,Lars Bregnbak,,Lars Bregnbak,7058900806833308677
Københavns Storkreds,Dansk Folkeparti,Kim Malmberg Hansen,M,Kim Malmberg Hansen,6832192130841134086
Østjyllands Storkreds,Dansk Folkeparti,Laura Guldager Thomasen,K,Laura Guldager,100420468330983424
Københavns Omegns Storkreds,Dansk Folkeparti,Morten Messerschmidt,M,Morten_Messerschmidt,7073363296087688197
Bornholms Storkreds,Dansk Folkeparti,Sabine Nicoline Lyngberg,K,SabineNicoline,7018520565506966533
Københavns Omegns Storkreds,Dansk Folkeparti,Susanne Damsgaard,K,susannedamsgaard,7029332563635700742
,Dansk Folkeparti,Dansk Folkepartis Ungdom,,Dansk Folkepartis Ungdom,7015602857539175429
Københavns Storkreds,Enhedslisten,Emil Samaras ,M,emil_samaras,7125302595979920390
Nordjyllands Storkreds,Enhedslisten,Malene Ingwersen,K,maleneingwersen,6737273588393444358
Sjællands Storkreds,Enhedslisten,Miralem Garagic ,M,Miralem,7053765009491248134
Københavns Storkreds,Enhedslisten,Rosa Lund,K,Rosa Lund,7053976672089867269
,Enhedslisten,Mai Villadsen,,Mai Villadsen,7135450646009938949
,Enhedslisten,Enhedslisten,,Socialistisk Ungdomsfront,6932199707230635014
Nordjyllands Storkreds,Enhedslisten,Astrid Vang Hansen,,astridvanghansen,7109476556850611206
Nordsjællands Storkreds,Enhedslisten,Christoffer Emil Jexen,,christofferemiljexen,7129941580178146310
Nordjyllands Storkreds,Enhedslisten,Pia Thorsen,,Pia Thorsen,6761056369707156486
Vestjyllands Storkreds,Enhedslisten,Sabrina Christiansen Broch,,Sabrina Christiansen Broch,7135538510404256774
Sydjyllands Storkreds,Enhedslisten,Sabrina Louise Christiansen,,Sabrina Louise Christiansen,7145498391425287174
Københavns Omegns Storkreds,Enhedslisten,Stefan Rundstrøm,,Stefan Rundstr?m,6532077461188902913
,Frie Grønne,Frie Grønne,,Friegronne,6976535639811982342
Københavns Omegns Storkreds,Frie Grønne,Asham Agha Nadeem,M,Asham Agha Nadeem,6760638649496683525
Københavns Storkreds,Frie Grønne,Daniel Tomicic,M,Daniel Tomicic,6828284661024113669
Københavns Storkreds,Frie Grønne,Elena Bjerregaard Ryan,K,Elena Bjerregaard Ry,6808428255155799045
Sydjyllands Storkreds,Frie Grønne,Marianne Karlberg,K,mariannekarlberg,7135807500985779206
Østjyllands Storkreds,Frie Grønne,Mohamed Abdikarim,M,Mohamed Abdikarim,6683542085570806790
Østjyllands Storkreds,Frie Grønne,Niko Grünfeld,M,Niko Grünfeld,6916160305756865542
Københavns Storkreds,Frie Grønne,Rajesh Holmen,M,Rajesh Holmen ,7109934982856131589
Nordsjællands Storkreds,Frie Grønne,Rishigeshan Balachandran,M,Rishi,7100270896913105925
Københavns Storkreds,Frie Grønne,Sikandar Siddique,M,Sikandar Siddique,7110193218998060038
Sjællands Storkreds,Frie Grønne,Yadvinder Singh,M,Yadvinder Singh,7070578549622670341
Nordjyllands Storkreds,Konservative,Alexander Klitgaard Mikkelsen,,Alexander_Klitgaard,6972807697470145541
Sjællands Storkreds,Konservative,Annette Juhler Kjær,,Annette Juhler Kj?r,7052043224550884358
Sydjyllands Storkreds,Konservative,Dan Foss Kragh,,Dan Foss Kragh,7082310736424305670
Københavns Omegns Storkreds,Konservative,Hanne Bjørn-Klausen,,Hanne Bj?rn-Klausen,6867187340700681221
Københavns Storkreds,Konservative,Helle Bonnesen,,hellebonnesen,7102821853895721990
Nordjyllands Storkreds,Konservative,Lene Burchardt,,Lene Burchardt,7145814499442148357
Fyns Storkreds,Konservative,Mai Mercado,,Mai Mercado,7140235828483638278
Københavns Omegns Storkreds,Konservative,Rasmus Jarlov,,rasmusjarlov,7011096327014630406
Sydjyllands Storkreds,Konservative,Rikke Norlyk,,Rikke Norlyk,7093097654704489478
Københavns Storkreds,Konservative,Anders Krøyer,M,Anders Krøyer,7137338468489839621
Sjællands Storkreds,Konservative,Andreas Karlsen,M,Andreas Karlsen,6707900828898870277
Sydjyllands Storkreds,Konservative,Birgitte Klippert,K,Birgitte Klippert,7047171652258661381
Sjællands Storkreds,Konservative,Brigitte Klintskov Jerkel,K,brigitteklintskovjerkel,7061630983610893318
Sjællands Storkreds,Konservative,Camillo Krog,K,Camillo Krog,7074931412352910342
Københavns Storkreds,Konservative,Casper Øhlers,M,Casper Øhlers,7065627173391107077
Vestjyllands Storkreds,Konservative,Dina Myrup Raabjerg,K,"Politiker Dina Raabjerg, C",7020110197134066693
Nordsjællands Storkreds,Konservative,Emma Juul Hansen,K,Emma Juul Hansen,7097271673482003462
Sydjyllands Storkreds,Konservative,Frederik Bloch Münster,M,Frederik Bloch Münster,7118781727687263237
Sjællands Storkreds,Konservative,Helle Laursen Petersen,K,Helle Laursen Petersen,7136799396591076357
Bornholms Storkreds,Konservative,Henriette Søvind,K,HenrietteSoevind,7117678255969633285
Københavns Omegns Storkreds,Konservative,Magnus Von Dreiager,M,Magnus Von Dreiager,7088528065630798853
Nordjyllands Storkreds,Konservative,Mia Tang,K,MiaTang.dk,7076148782341522437
Københavns Storkreds,Konservative,Nicola Emily Larsen,K,nicolaemilylarsen_,7082979087409759237
